date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-08-03,OI,乾坤期货,42839,-2285,0,0,9
2026-08-03,OI,摩根大通,38997,875,1385,0,10
2026-08-03,OI,五矿期货,16387,2242,16454,1867,11
2026-08-03,OI,南华期货,12720,35,18046,349,12
2026-08-03,OI,一德期货,22313,278,7868,-74,13
2026-08-03,OI,银河期货,9236,-1941,8212,861,14
2026-08-03,OI,广发期货,8113,38,6472,52,15
2026-08-03,OI,鲁证期货,5229,2597,8448,1965,16
2026-08-03,OI,瑞银期货,9618,-727,0,0,17
2026-08-03,OI,中投天琪,9526,-291,0,0,18
2026-08-03,OI,创元期货,4704,-281,2741,-266,19
2026-08-03,OI,招商期货,1258,150,6089,-181,20
2026-08-03,P,国泰君安,103062,-3038,81484,-668,1
2026-08-03,P,中信期货,38646,-1904,75297,300,2
2026-08-03,P,东证期货,40773,2197,52939,-2868,3
2026-08-03,P,一德期货,50965,66,40368,-753,4
2026-08-03,P,中粮期货,36257,889,45854,-1262,5
2026-08-03,P,海通期货,30447,647,30585,576,6
2026-08-03,P,中信建投,23255,380,28316,90,7
2026-08-03,P,国投期货,28968,348,17782,-1197,8
2026-08-03,P,华泰期货,25537,-273,19923,878,9
2026-08-03,P,广发期货,24802,2799,17333,725,10
2026-08-03,P,招商期货,23935,-250,12205,431,11
2026-08-03,P,国富期货,9319,-169,25472,307,12
2026-08-03,P,永安期货,21646,-325,10702,456,13
2026-08-03,P,乾坤期货,0,0,31201,2052,14
2026-08-03,P,摩根大通,17911,2942,10289,-752,15
2026-08-03,P,银河期货,15412,707,12738,-199,16
2026-08-03,P,浙商期货,6579,264,14216,168,17
2026-08-03,P,中金财富,1141,335,18492,2171,18
2026-08-03,P,瑞达期货,5609,31,13847,-489,19
2026-08-03,P,国贸期货,10,0,18313,340,20
2026-08-03,Y,中粮期货,54265,-109,226469,1226,1
2026-08-03,Y,国泰君安,124123,-5493,89395,960,2
2026-08-03,Y,东证期货,60675,-547,73898,346,3
2026-08-03,Y,国投期货,28625,-3375,102442,-7822,4
2026-08-03,Y,中信期货,60241,-698,69979,-3031,5
2026-08-03,Y,广发期货,35862,-301,88371,2004,6
2026-08-03,Y,海通期货,52062,-1826,39103,25,7
2026-08-03,Y,摩根大通,39245,-2299,29742,-491,8
2026-08-03,Y,永安期货,34534,692,28753,-8,9
2026-08-03,Y,南华期货,34844,-140,22811,448,10
2026-08-03,Y,宏源期货,19708,97,37634,100,11
2026-08-03,Y,中信建投,32210,465,24149,-145,12
2026-08-03,Y,招商期货,24100,701,28399,1022,13
2026-08-03,Y,乾坤期货,27973,-252,19239,-3571,14
2026-08-03,Y,华泰期货,24330,509,20180,286,15
2026-08-03,Y,一德期货,27619,1158,11080,1281,16
2026-08-03,Y,银河期货,20091,1164,11174,959,17
2026-08-03,Y,中泰期货,21668,965,5496,-187,18
2026-08-03,Y,建信期货,14966,-1937,10234,-1309,19
2026-08-03,Y,西部期货,24563,172,0,0,20
2026-08-04,OI,中粮期货,24256,2328,84330,3394,1
2026-08-04,OI,中信期货,59792,3257,48095,-153,2
2026-08-04,OI,国投安信,23450,2160,67595,892,3
2026-08-04,OI,中信建投,40788,-4194,45258,-3317,4
2026-08-04,OI,华泰期货,24642,684,32795,734,5
2026-08-04,OI,东证期货,33448,6055,21650,107,6
2026-08-04,OI,国泰君安,33620,5400,17488,73,7
2026-08-04,OI,浙商期货,13937,42,32734,-1318,8
2026-08-04,OI,摩根大通,42429,3432,1377,-8,9
2026-08-04,OI,乾坤期货,43726,887,0,0,10
2026-08-04,OI,五矿期货,21092,4705,19997,3543,11
2026-08-04,OI,南华期货,12706,-14,17698,-294,12
2026-08-04,OI,一德期货,19787,-2526,6526,-1342,13
2026-08-04,OI,鲁证期货,8825,3596,12330,3882,14
2026-08-04,OI,银河期货,7479,-1757,11114,1907,15
2026-08-04,OI,广发期货,8185,72,6973,501,16
2026-08-04,OI,中投天琪,10683,389,0,0,17
2026-08-04,OI,长江期货,4747,1830,4884,1819,18
2026-08-04,OI,瑞银期货,9524,-94,0,0,19
2026-08-04,OI,海通期货,5914,1475,2587,-308,20
2026-08-04,P,国泰君安,96631,-6431,77780,-3704,1
2026-08-04,P,中信期货,38845,199,77464,2167,2
2026-08-04,P,一德期货,52850,1885,41734,1366,3
2026-08-04,P,东证期货,41083,310,50236,-2703,4
2026-08-04,P,中粮期货,36450,193,43351,-2503,5
2026-08-04,P,海通期货,31283,836,30721,136,6
2026-08-04,P,中信建投,23253,-2,28414,98,7
2026-08-04,P,国投期货,27777,-1193,17788,6,8
2026-08-04,P,广发期货,25560,758,16480,-853,9
2026-08-04,P,华泰期货,24251,-1286,17743,-2180,10
2026-08-04,P,招商期货,23768,-167,12609,404,11
2026-08-04,P,国富期货,8874,567,24713,-759,12
